lat,lon,defect_type,severity,confidence,image_path,street_name,district
42.911463,74.594497,alligator_crack,7.8,0.91,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_58_00_png.rf.1b3e71842e496a1ce07f16fec1dd9462.jpg,Саадаева улица,Первомайский район
42.844155,74.586401,alligator_crack,2.4,0.86,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_58_24_png.rf.8d0cd2f50125860165abbb82f2e057b3.jpg,Чингиза Айтматова проспект,Первомайский район
42.877444,74.640085,alligator_crack,3.0,0.93,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_58_37_png.rf.7a762892318d9ae6887014024026a19b.jpg,Павлика Морозова переулок,Свердловский район
42.871564,74.550232,alligator_crack,1.5,0.97,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_59_36_png.rf.79148968eebf6009d6a51b6494bb73cd.jpg,Монгольский переулок,Ленинский район
42.886778,74.619858,alligator_crack,9.1,0.94,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_00_19_png.rf.824d565af5519b4e398a1ddad1d18638.jpg,Кузнечная крепость улица,Свердловский район
42.905359,74.598246,transverse_crack,2.7,0.91,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_01_31_png.rf.7c9515ae14536400171162e75aaa1eb8.jpg,Боталиева улица,Свердловский район
42.836714,74.573834,transverse_crack,7.4,0.93,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_01_47_png.rf.9e66ba115cfef13fcf593855ff61c70c.jpg,Минжилкиева улица,Джал-23 микрорайон
42.868419,74.643479,alligator_crack,3.4,0.93,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_02_00_png.rf.27cff3075d16f038d8e2afb62058e563.jpg,Путепроводная улица,Октябрьский район
42.870077,74.554245,transverse_crack,3.0,0.9,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_02_15_png.rf.057620dc127733252c3346d4514053f2.jpg,Unknown Street,Ленинский район
42.861211,74.62423,alligator_crack,3.8,0.93,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_02_45_png.rf.16777d2aeeae4596f7b33ae8f7721a10.jpg,Кулатова улица,Октябрьский район
42.903739,74.585324,transverse_crack,8.8,0.93,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_02_59_png.rf.998a517d3516a8515a6a2c221ff673b3.jpg,Саруйский переулок,Колме
42.830207,74.570006,longitudinal_crack,1.2,0.9,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_05_47_png.rf.0a6ed45eaf27ef0d2976277d7d296d01.jpg,Тыналиева улица,Джал-23 микрорайон
42.867109,74.62653,alligator_crack,2.4,0.91,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_08_02_png.rf.ce0d05da9904144c0a20dc8244514bc6.jpg,Unknown Street,Свердловский район
42.870979,74.530605,alligator_crack,8.6,0.87,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_08_17_png.rf.6a367da520c92d8e17351529546e1eb5.jpg,Орозова К. улица,Кызыл-Аскер
42.863666,74.623622,pothole,1.5,0.96,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_08_29_png.rf.63d617a92d0d7b9f8bd92325bc045608.jpg,Матросова улица,Октябрьский район
42.906102,74.602951,longitudinal_crack,1.8,0.85,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_10_52_png.rf.eeba80727939fc5f5780fdc6170a14f1.jpg,Изюмский переулок,Свердловский район
42.837103,74.579258,transverse_crack,2.6,0.91,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_10_59_png.rf.21a47e8365d30cf78bf33d06f6ec64ed.jpg,Ажыбек Баатыра улица,Джал-23 микрорайон
42.876693,74.625243,pothole,1.4,0.96,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_11_42_png.rf.ed082bcb16582fd3409f12eac0d907da.jpg,Айтматова Торекула улица,Свердловский район
42.845549,74.534448,alligator_crack,1.8,0.86,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_12_11_png.rf.d25b17d957a706bfec8df1d43579f1d8.jpg,Ак-Орго,Ак-Орго
42.885716,74.621413,pothole,2.1,0.88,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_12_25_png.rf.b8c40ae4ccb26f31e6e2c6e3653c4993.jpg,Жибек Жолу проспект,Свердловский район
42.915568,74.58451,pothole,2.5,0.9,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_12_50_png.rf.7b74812481756b87ef3a612e26bff64a.jpg,Манаса улица,Ак-Босого
42.843082,74.571729,longitudinal_crack,1.9,0.88,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_13_30_png.rf.f972b4f041946a23640a27c0c79ae1c8.jpg,Ахунбаева Исы улица,Джал-23 микрорайон
42.882434,74.635701,alligator_crack,2.7,0.94,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_57_49_png.rf.8a953444d02d7e58e1c1b67956a6c437.jpg,Курманжан Датка улица,Свердловский район
42.869521,74.544954,pothole,1.4,0.87,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_04_42_png.rf.6ae7467899a785c91b0abb85998ef1d3.jpg,Джамгерчинова улица,Кызыл-Аскер
42.883772,74.598047,alligator_crack,1.3,0.91,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_08_50_png.rf.b7146dc165a31f680e0ed1cf99d27696.jpg,Жибек Жолу проспект,Первомайский район
42.898742,74.579758,pothole,1.3,0.87,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_10_22_png.rf.1a0bdd25b0833998682ecdcdb1cce497.jpg,Кунгой улица,Салам-Алик
42.823211,74.577874,transverse_crack,2.6,0.95,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-22_11_22_png.rf.f551bb2925c1834d470668420ed68119.jpg,Unknown Street,Ленинский район
